Date and Time,TP001_Nagarjun (Prativa's house),TP002_Tokha (Ashish Dangol's house,TP003_Lapsephedi,TP004_Chandragiri (Sanjog's House),TP005_Kusunti Office,TP006_Bhaktapur (KEC),TP007_Bhardev,TP008_Okhreni Tipping Bucket,TP0010_Nagarkot (Kharipati)
2024-07-04 00:15:00,0.07499999552965164,0.07499999552965164,0.07249999791383743,0.10249999910593033,0.08999999612569809,0.08249999582767487,0.08999999612569809,0.07249999791383743,0.07249999791383743
2024-07-04 00:45:00,0.1525000035762787,0.14249999821186066,0.10249999910593033,0.16749998927116394,0.17249999940395355,0.14249999821186066,0.17249999940395355,0.10249999910593033,0.10249999910593033
2024-07-04 01:15:00,0.08500000089406967,0.07249999791383743,0.09749999642372131,0.13750000298023224,0.11999999731779099,0.0949999988079071,0.11749999970197678,0.09749999642372131,0.09749999642372131
2024-07-04 01:45:00,0.0,0.0949999988079071,0.0,0.09749999642372131,0.09749999642372131,0.0,0.10999999940395355,0.0,0.0
2024-07-04 02:15:00,0.054999999701976776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04 02:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04 03:15:00,0.08749999850988388,0.0,0.10999999940395355,0.054999999701976776,0.0,0.0,0.0,0.10999999940395355,0.10999999940395355
2024-07-04 03:45:00,0.0,0.12999999523162842,0.07750000059604645,0.0,0.0,0.0,0.0,0.07750000059604645,0.07750000059604645
2024-07-04 04:15:00,0.07999999821186066,0.057499997317790985,0.0625,0.0,0.0,0.0,0.0,0.0625,0.0625
2024-07-04 04:45:00,0.03749999776482582,0.042500000447034836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04 05:15:00,0.06749999523162842,0.054999999701976776,0.04999999701976776,0.0,0.022499999031424522,0.042500000447034836,0.0,0.04999999701976776,0.04999999701976776
2024-07-04 05:45:00,0.05249999836087227,0.07999999821186066,0.06499999761581421,0.04999999701976776,0.057499997317790985,0.04999999701976776,0.0625,0.06499999761581421,0.06499999761581421
2024-07-04 06:15:00,0.07750000059604645,0.07249999791383743,0.07000000029802322,0.05999999865889549,0.054999999701976776,0.027499999850988388,0.05249999836087227,0.07000000029802322,0.07000000029802322
2024-07-04 06:45:00,0.05999999865889549,0.07750000059604645,0.05999999865889549,0.044999998062849045,0.029999999329447746,0.05249999836087227,0.04749999940395355,0.05999999865889549,0.05999999865889549
2024-07-04 07:15:00,0.08249999582767487,0.09999999403953552,0.0625,0.032499998807907104,0.044999998062849045,0.03999999910593033,0.054999999701976776,0.0625,0.0625
2024-07-04 07:45:00,0.0,0.057499997317790985,0.057499997317790985,0.0,0.0,0.0,0.0,0.057499997317790985,0.057499997317790985
2024-07-04 08:15:00,0.0,0.057499997317790985,0.05999999865889549,0.0,0.0,0.0,0.0,0.05999999865889549,0.05999999865889549
2024-07-04 08:45:00,0.0,0.08500000089406967,0.07750000059604645,0.0,0.0,0.0,0.0,0.07750000059604645,0.07750000059604645
2024-07-04 09:15:00,0.0,0.2224999964237213,0.22499999403953552,0.0,0.0,0.0,0.0,0.22499999403953552,0.22499999403953552
2024-07-04 09:45:00,0.0,0.23749999701976776,0.22499999403953552,0.0,0.0,0.0,0.0,0.22499999403953552,0.22499999403953552
2024-07-04 10:15:00,0.0,0.29749998450279236,0.20250000059604645,0.0,0.0,0.0,0.0,0.20250000059604645,0.20250000059604645
2024-07-04 10:45:00,0.0,0.2549999952316284,0.1875,0.0,0.0,0.0,0.0,0.1875,0.1875
2024-07-04 11:15:00,0.14249999821186066,0.29749998450279236,0.10249999910593033,0.0,0.0,0.0,0.0,0.10249999910593033,0.10249999910593033
2024-07-04 11:45:00,0.19749999046325684,0.4025000035762787,0.07999999821186066,0.054999999701976776,0.0,0.0,0.0,0.07999999821186066,0.07999999821186066
2024-07-04 12:15:00,0.26249998807907104,0.7124999761581421,0.0,0.14000000059604645,0.0,0.0,0.0,0.0,0.0
2024-07-04 12:45:00,0.6200000047683716,1.027500033378601,0.23499999940395355,0.29249998927116394,0.25,0.1850000023841858,0.0,0.23499999940395355,0.23499999940395355
2024-07-04 13:15:00,0.7074999809265137,1.0950000286102295,0.375,0.48749998211860657,0.41999998688697815,0.24249999225139618,0.03999999910593033,0.375,0.375
2024-07-04 13:45:00,1.0049999952316284,0.7199999690055847,0.6299999952316284,0.6474999785423279,0.6474999785423279,0.4699999988079071,0.10249999910593033,0.6299999952316284,0.6299999952316284
2024-07-04 14:15:00,1.1799999475479126,1.024999976158142,0.5475000143051147,0.4949999749660492,1.0475000143051147,0.5224999785423279,0.3774999976158142,0.5475000143051147,0.5475000143051147
2024-07-04 14:45:00,0.73499995470047,1.0325000286102295,0.5299999713897705,0.4124999940395355,0.7475000023841858,1.2274999618530273,0.35499998927116394,0.5299999713897705,0.5299999713897705
2024-07-04 15:15:00,0.25999999046325684,0.2549999952316284,0.20250000059604645,0.14999999105930328,0.26499998569488525,1.0325000286102295,0.14999999105930328,0.20250000059604645,0.20250000059604645
2024-07-04 15:45:00,0.12999999523162842,0.09749999642372131,0.05249999836087227,0.07750000059604645,0.07999999821186066,0.057499997317790985,0.0,0.05249999836087227,0.05249999836087227
2024-07-04 16:15:00,0.07999999821186066,0.03999999910593033,0.027499999850988388,0.06499999761581421,0.07000000029802322,0.05999999865889549,0.044999998062849045,0.027499999850988388,0.027499999850988388
2024-07-04 16:45:00,0.057499997317790985,0.022499999031424522,0.0,0.054999999701976776,0.057499997317790985,0.04999999701976776,0.044999998062849045,0.0,0.0
2024-07-04 17:15:00,0.03749999776482582,0.0,0.0,0.03999999910593033,0.044999998062849045,0.03999999910593033,0.044999998062849045,0.0,0.0
2024-07-04 17:45:00,0.042500000447034836,0.029999999329447746,0.0,0.044999998062849045,0.044999998062849045,0.044999998062849045,0.04999999701976776,0.0,0.0
2024-07-04 18:15:00,0.08500000089406967,0.07249999791383743,0.0,0.03749999776482582,0.03999999910593033,0.03999999910593033,0.057499997317790985,0.0,0.0
2024-07-04 18:45:00,0.1875,0.1850000023841858,0.0,0.0,0.0,0.0,0.06749999523162842,0.0,0.0
2024-07-04 19:15:00,0.16499999165534973,0.1574999988079071,0.0,0.0,0.0,0.0,0.2175000011920929,0.0,0.0
2024-07-04 19:45:00,0.2824999988079071,0.26499998569488525,0.0,0.027499999850988388,0.042500000447034836,0.0,0.5799999833106995,0.0,0.0
2024-07-04 20:15:00,0.574999988079071,0.5774999856948853,0.0,0.0,0.0,0.0,0.1875,0.0,0.0
2024-07-04 20:45:00,0.9599999785423279,0.3999999761581421,0.07499999552965164,0.7324999570846558,0.12999999523162842,0.1224999949336052,0.2149999886751175,0.07499999552965164,0.07499999552965164
2024-07-04 21:15:00,0.9524999856948853,0.3649999797344208,0.1574999988079071,1.090000033378601,0.19249999523162842,0.1899999976158142,0.32749998569488525,0.1574999988079071,0.1574999988079071
2024-07-04 21:45:00,1.090000033378601,0.19749999046325684,0.2549999952316284,1.6649999618530273,0.23999999463558197,0.26999998092651367,0.3474999964237213,0.2549999952316284,0.2549999952316284
2024-07-04 22:15:00,0.4375,0.2175000011920929,0.27250000834465027,0.9674999713897705,0.23749999701976776,0.2549999952316284,0.19749999046325684,0.27250000834465027,0.27250000834465027
2024-07-04 22:45:00,0.29499998688697815,0.11249999701976776,0.2149999886751175,0.4350000023841858,0.17999999225139618,0.1850000023841858,0.23749999701976776,0.2149999886751175,0.2149999886751175
2024-07-04 23:15:00,0.21249999105930328,0.11749999970197678,0.3725000023841858,0.2849999964237213,0.13750000298023224,0.2199999988079071,0.13499999046325684,0.3725000023841858,0.3725000023841858
2024-07-04 23:45:00,0.1850000023841858,0.0625,0.2449999898672104,0.20250000059604645,0.07499999552965164,0.19999998807907104,0.10999999940395355,0.2449999898672104,0.2449999898672104
2024-07-05 00:15:00,0.14999999105930328,0.06499999761581421,0.3199999928474426,0.1599999964237213,0.06499999761581421,0.20749999582767487,0.07999999821186066,0.3199999928474426,0.3199999928474426
2024-07-05 00:45:00,0.19499999284744263,0.1574999988079071,0.8499999642372131,0.20499999821186066,0.14749999344348907,0.38749998807907104,0.1550000011920929,0.8499999642372131,0.8499999642372131
2024-07-05 01:15:00,0.1574999988079071,0.14749999344348907,0.5475000143051147,0.1550000011920929,0.14749999344348907,0.2474999874830246,0.14749999344348907,0.5475000143051147,0.5475000143051147
2024-07-05 01:45:00,0.14749999344348907,0.14749999344348907,0.32249999046325684,0.14749999344348907,0.14499999582767487,0.20999999344348907,0.13249999284744263,0.32249999046325684,0.32249999046325684
2024-07-05 02:15:00,0.14749999344348907,0.1224999949336052,0.1224999949336052,0.14749999344348907,0.12999999523162842,0.1224999949336052,0.125,0.1224999949336052,0.1224999949336052
2024-07-05 02:45:00,0.07000000029802322,0.06499999761581421,0.06499999761581421,0.11249999701976776,0.06749999523162842,0.06499999761581421,0.07000000029802322,0.06499999761581421,0.06499999761581421
