DateTime,Discharge_m3/s
2024-07-04 00:00:00,25.796015930279996
2024-07-04 00:10:00,25.622000885080006
2024-07-04 00:20:00,25.390017700440005
2024-07-04 00:30:00,24.684015273959997
2024-07-04 00:40:00,24.37201309204
2024-07-04 00:50:00,24.11200714116
2024-07-04 01:00:00,23.644016266119998
2024-07-04 01:10:00,23.644016266119998
2024-07-04 01:20:00,23.33201408368
2024-07-04 01:30:00,22.96801567072
2024-07-04 01:40:00,22.86402320864
2024-07-04 01:50:00,22.448003768959992
2024-07-04 02:00:00,22.39600753792
2024-07-04 02:10:00,22.344011306879995
2024-07-04 02:20:00,22.18802261376
2024-07-04 02:30:00,21.668010711479997
2024-07-04 02:40:00,21.928016662359997
2024-07-04 02:50:00,21.72000694252
2024-07-04 03:00:00,21.512022018360003
2024-07-04 03:10:00,20.9920101166
2024-07-04 03:20:00,21.200019836439996
2024-07-04 03:30:00,20.472023010000004
2024-07-04 03:40:00,20.368005752759995
2024-07-04 03:50:00,20.472023010000004
2024-07-04 04:00:00,20.160020828079997
2024-07-04 04:10:00,20.056003570319998
2024-07-04 04:20:00,19.532017898599996
2024-07-04 04:30:00,19.578014564520004
2024-07-04 04:40:00,19.25601596844
2024-07-04 04:50:00,18.93401737236
2024-07-04 05:00:00,18.980014038280004
2024-07-04 05:10:00,18.65801544174
2024-07-04 05:20:00,18.750008773580003
2024-07-04 05:30:00,18.474006843419996
2024-07-04 05:40:00,18.382013511579995
2024-07-04 05:50:00,18.52000350934
2024-07-04 06:00:00,18.612018775819998
2024-07-04 06:10:00,18.612018775819998
2024-07-04 06:20:00,18.566000175259994
2024-07-04 06:30:00,18.79600543996
2024-07-04 06:40:00,18.382013511579995
2024-07-04 06:50:00,18.290020179739997
2024-07-04 07:00:00,18.19800491326
2024-07-04 07:10:00,17.692019653499997
2024-07-04 07:20:00,17.60000438702
2024-07-04 07:30:00,17.370021056959995
2024-07-04 07:40:00,17.50801105518
2024-07-04 07:50:00,17.324002456860004
2024-07-04 08:00:00,17.27800579094
2024-07-04 08:10:00,17.27800579094
2024-07-04 08:20:00,16.772020530719995
2024-07-04 08:30:00,16.634008598319994
2024-07-04 08:40:00,16.5880119324
2024-07-04 08:50:00,16.726001930159995
2024-07-04 09:00:00,16.864013862559997
2024-07-04 09:10:00,16.68000526424
2024-07-04 09:20:00,16.772020530719995
2024-07-04 09:30:00,16.956007194399998
2024-07-04 09:40:00,16.864013862559997
2024-07-04 09:50:00,17.048000526239996
2024-07-04 10:00:00,16.772020530719995
2024-07-04 10:10:00,16.956007194399998
2024-07-04 10:20:00,17.140015792720003
2024-07-04 10:30:00,17.140015792720003
2024-07-04 10:40:00,17.048000526239996
2024-07-04 10:50:00,17.324002456860004
2024-07-04 11:00:00,17.370021056959995
2024-07-04 11:10:00,17.370021056959995
2024-07-04 11:20:00,17.554007721099996
2024-07-04 11:30:00,17.692019653499997
2024-07-04 11:40:00,17.692019653499997
2024-07-04 11:50:00,18.014018249579998
2024-07-04 12:00:00,18.060014915500005
2024-07-04 12:10:00,18.152008247340003
2024-07-04 12:20:00,18.014018249579998
2024-07-04 12:30:00,18.52000350934
2024-07-04 12:40:00,18.474006843419996
2024-07-04 12:50:00,18.382013511579995
2024-07-04 13:00:00,18.65801544174
2024-07-04 13:10:00,18.152008247340003
2024-07-04 13:20:00,18.244001579180004
2024-07-04 13:30:00,18.014018249579998
2024-07-04 13:40:00,18.014018249579998
2024-07-04 13:50:00,18.19800491326
2024-07-04 14:00:00,17.692019653499997
2024-07-04 14:10:00,43.18000774409999
2024-07-04 14:20:00,89.67001428556996
2024-07-04 14:30:00,100.23602142386996
2024-07-04 14:40:00,100.70404329351
2024-07-04 14:50:00,97.69504489933999
2024-07-04 15:00:00,93.30800571486999
2024-07-04 15:10:00,88.81402530656997
2024-07-04 15:20:00,82.33801078781002
2024-07-04 15:30:00,77.84200286888
2024-07-04 15:40:00,74.17599964186002
2024-07-04 15:50:00,71.35602474174
2024-07-04 16:00:00,69.47602653526
2024-07-04 16:10:00,69.75800609590001
2024-07-04 16:20:00,69.47602653526
2024-07-04 16:30:00,69.66401290902
2024-07-04 16:40:00,69.28804016149999
2024-07-04 16:50:00,68.83302784009
2024-07-04 17:00:00,67.40900373443999
2024-07-04 17:10:00,66.16300916700001
2024-07-04 17:20:00,64.56104040155
2024-07-04 17:30:00,63.760013580510005
2024-07-04 17:40:00,61.89102172846
2024-07-04 17:50:00,60.200016974970005
2024-07-04 18:00:00,59.70801219913999
2024-07-04 18:10:00,58.314035034499994
2024-07-04 18:20:00,56.83802471152
2024-07-04 18:30:00,55.03403816198
2024-07-04 18:40:00,53.7220159531
2024-07-04 18:50:00,52.8200031283
2024-07-04 19:00:00,51.84603319162001
2024-07-04 19:10:00,50.69100675598
2024-07-04 19:20:00,49.53601703625
2024-07-04 19:30:00,48.30403289824999
2024-07-04 19:40:00,47.226000880879994
2024-07-04 19:50:00,46.76403436663999
2024-07-04 20:00:00,46.224999999999994
2024-07-04 20:10:00,46.224999999999994
2024-07-04 20:20:00,44.76203260411
2024-07-04 20:30:00,44.916021442189994
